title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
Aakhri Adaalat,MOVIE,1988,Unknown,148, action ,IN,5.1,92
Aamir,MOVIE,2008,NC-17,96, thriller ,IN,7.6,11290
Aapla Manus,MOVIE,2018,Unknown,132, drama ,IN,7,933
Aaviri,MOVIE,2019,Unknown,113, drama ,IN,3.5,104
Abby Hatcher,SHOW,2018,TV-Y,17, animation ,US,5.4,182
ABCD,MOVIE,2013,PG-13,136, music ,IN,6.3,6960
ABCD 2,MOVIE,2015,PG,154, music ,IN,5.4,6424
Abducted in Plain Sight,MOVIE,2018,Unknown,91, crime ,US,6.8,18165
Abla Fahita: Drama Queen,SHOW,2021,TV-14,25, drama ,EG,6.5,446
Abstract: The Art of Design,SHOW,2017,TV-14,45, documentation  ,US,8.4,5306
Absurd Planet,SHOW,2020,TV-PG,20, documentation  ,US,3.9,1483
Abyss,SHOW,2019,TV-14,63, scifi ,KR,7.1,2324
Accident,MOVIE,2009,R,89, action ,HK,6.6,3327
Accidentally In Love,SHOW,2018,TV-14,31, family ,CN,7.4,1156
Accomplice,MOVIE,2021,Unknown,52, documentation  ,US,7.2,380
Action Pack,SHOW,2022,TV-Y,28, family ,US,6.3,86
Acts of Vengeance,MOVIE,2017,R,87, drama ,BG,5.7,12160
Ad Vitam,SHOW,2018,TV-MA,52, scifi ,FR,6.4,1671
Ad??,MOVIE,2020,Unknown,119, drama ,ES,Unknown,Unknown
"Ada Twist, Scientist",SHOW,2021,Unknown,28, family ,US,6.8,149
Adam by Eve: A Live in Animation,MOVIE,2022,PG-13,58, drama ,JP,6.1,378
Adam Devine: Best Time of Our Lives,MOVIE,2019,PG-13,58, comedy  ,US,5.9,959
Adam Sandler: 100% Fresh,MOVIE,2018,R,73, comedy ,US,7.5,5178
Adam: His Song Continues,MOVIE,1986,Unknown,100, crime ,US,7,212
Adel Karam: Live from Beirut,MOVIE,2018,R,59, comedy  ,LB,5.3,150
Adhugo,MOVIE,2018,Unknown,110, drama  ,IN,5.9,68
Aditi Mittal: Things They Wouldn't Let Me Say,MOVIE,2017,Unknown,62, comedy  ,IN,4.3,333
Adrift,MOVIE,2018,PG-13,96, action ,HK,6.6,55597
Advantageous,MOVIE,2015,Unknown,92, drama ,US,6.2,5378
Adventure Beast,SHOW,2021,TV-MA,19, comedy ,US,5.2,569
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22, scifi ,US,6.2,3902
Aelay,MOVIE,2021,Unknown,153, comedy  ,IN,Unknown,Unknown
Aerials,MOVIE,2016,Unknown,90, thriller ,AE,1.5,388
Afflicted,SHOW,2018,TV-MA,42, documentation ,BR,5.1,1120
Afonso Padilha: Classless,MOVIE,2020,Unknown,63, comedy  ,BR,6.8,197
African America,MOVIE,2021,Unknown,96, drama  ,ZA,5.2,68
African Knock Out Show,SHOW,2022,TV-14,32,Unknown,US,Unknown,Unknown
Afronta!,SHOW,2017,TV-PG,14, documentation  ,BR,7.4,8
After,MOVIE,2019,PG-13,102, drama ,US,5.2,53460
After Life,SHOW,2019,TV-MA,28, comedy ,GB,8.4,129243
